Sno,Movie Name,Director1,Director2,Director3,Duration,Year,Ratings,Metascore
297,Gangs of Wasseypur,Anurag Kashyap,-,-,321 min,2012,8.2,89        
298,Baahubali 2: The Conclusion,S.S. Rajamouli,-,-,167 min,2017,8.2,-
299,Yojimbo,Akira Kurosawa,-,-,110 min,1961,8.2,93        
300,Uri: The Surgical Strike,Aditya Dhar,-,-,138 min,2019,8.2,-
301,The Dark Knight,Christopher Nolan,-,-,152 min,2008,9.0,84        
302,The Lord of the Rings: The Return of the King,Peter Jackson,-,-,201 min,2003,9.0,94        
303,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,140 min,2023,8.9,86        
304,Inception,Christopher Nolan,-,-,148 min,2010,8.8,74        
305,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,-,-,178 min,2001,8.8,92        
306,The Lord of the Rings: The Two Towers,Peter Jackson,-,-,179 min,2002,8.8,87        
307,The Matrix,Lana Wachowski,Lilly Wachowski,-,136 min,1999,8.7,73        
308,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,-,-,124 min,1980,8.7,82        
309,Soorarai Pottru,Sudha Kongara,-,-,153 min,2020,8.7,-
310,Terminator 2: Judgment Day,James Cameron,-,-,137 min,1991,8.6,75        
311,Star Wars: Episode IV - A New Hope,George Lucas,-,-,121 min,1977,8.6,90        
312,Seven Samurai,Akira Kurosawa,-,-,207 min,1954,8.6,98        
313,Harakiri,Masaki Kobayashi,-,-,133 min,1962,8.6,85        
314,Sita Ramam,Hanu Raghavapudi,-,-,163 min,2022,8.6,-
315,Gladiator,Ridley Scott,-,-,155 min,2000,8.5,67        
316,Léon: The Professional,Luc Besson,-,-,110 min,1994,8.5,64        
317,Raiders of the Lost Ark,Steven Spielberg,-,-,115 min,1981,8.4,85        
318,Spider-Man: Into the Spider-Verse,Bob Persichetti,Peter Ramsey,Rodney Rothman,117 min,2018,8.4,87        
319,Avengers: Endgame,Anthony Russo,Joe Russo,-,181 min,2019,8.4,78        
320,Aliens,James Cameron,-,-,137 min,1986,8.4,84        
321,Oldboy,Park Chan-wook,-,-,120 min,2003,8.4,77        
322,The Dark Knight Rises,Christopher Nolan,-,-,164 min,2012,8.4,78        
323,Avengers: Infinity War,Anthony Russo,Joe Russo,-,149 min,2018,8.4,68        
324,Kaithi,Lokesh Kanagaraj,-,-,145 min,2019,8.4,-
325,Asuran,Vetrimaaran,-,-,141 min,2019,8.4,-
326,Top Gun: Maverick,Joseph Kosinski,-,-,130 min,2022,8.3,78        
327,Heat,Michael Mann,-,-,170 min,1995,8.3,76        
328,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,-,-,131 min,1983,8.3,58        
